experiment,job_id,node,rank,n_gpus,gpu_name,seq_range,fasta_file,seq_len,phase,cache_warm,num_samples,batch_size,wall_time_s,peak_vram_mb,status
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000001648_00738.fasta,72,warmup,False,1,50,3.96,174.0,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000001648_00738.fasta,72,sample,True,10,50,3.58,507.8,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000001648_00738.fasta,72,sample,True,25,50,6.7,1049.7,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000001648_00738.fasta,72,sample,True,50,50,12.22,1945.7,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000001648_00738.fasta,72,sample,True,100,50,23.29,3570.7,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000001648_00738.fasta,72,sample,True,200,50,44.44,3576.7,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000001648_00738.fasta,72,sample,True,500,50,108.78,3586.9,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000001648_00738.fasta,72,sample,True,1000,50,216.18,3596.2,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000002467_02821.fasta,63,warmup,False,1,50,2.56,206.2,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000002467_02821.fasta,63,sample,True,10,50,3.15,465.0,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000002467_02821.fasta,63,sample,True,25,50,5.59,887.7,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000002467_02821.fasta,63,sample,True,50,50,9.87,1581.7,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000002467_02821.fasta,63,sample,True,100,50,18.5,2968.6,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000002467_02821.fasta,63,sample,True,200,50,35.96,3665.0,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000002467_02821.fasta,63,sample,True,500,50,87.92,3672.7,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000002467_02821.fasta,63,sample,True,1000,50,175.25,3681.4,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000003606_00776.fasta,77,warmup,False,1,50,2.53,282.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000003606_00776.fasta,77,sample,True,10,50,3.74,655.4,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000003606_00776.fasta,77,sample,True,25,50,7.28,1274.3,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000003606_00776.fasta,77,sample,True,50,50,13.38,2292.5,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000003606_00776.fasta,77,sample,True,100,50,25.46,3553.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000003606_00776.fasta,77,sample,True,200,50,49.38,3561.9,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000003606_00776.fasta,77,sample,True,500,50,121.28,3571.8,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000003606_00776.fasta,77,sample,True,1000,50,241.73,3579.5,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000051780_00386.fasta,100,warmup,False,1,50,2.59,246.8,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000051780_00386.fasta,100,sample,True,10,50,4.99,861.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000051780_00386.fasta,100,sample,True,25,50,10.22,1878.7,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000051780_00386.fasta,100,sample,True,50,50,19.04,3568.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000051780_00386.fasta,100,sample,True,100,50,37.38,3575.6,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000051780_00386.fasta,100,sample,True,200,50,74.04,3584.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000051780_00386.fasta,100,sample,True,500,50,183.86,3592.5,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000051780_00386.fasta,100,sample,True,1000,50,367.17,3598.8,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000078498_00408.fasta,67,warmup,False,1,50,2.53,177.4,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000078498_00408.fasta,67,sample,True,10,50,3.35,468.3,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000078498_00408.fasta,67,sample,True,25,50,6.12,938.9,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000078498_00408.fasta,67,sample,True,50,50,10.76,1723.7,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000078498_00408.fasta,67,sample,True,100,50,20.16,3284.2,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000078498_00408.fasta,67,sample,True,200,50,39.73,3634.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000078498_00408.fasta,67,sample,True,500,50,98.54,3643.7,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000078498_00408.fasta,67,sample,True,1000,50,197.16,3651.7,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000139077_02576.fasta,50,warmup,False,1,50,2.79,228.6,ERROR: Invalid suffix '_unphysical.xtc'
