experiment,job_id,node,rank,n_gpus,gpu_name,seq_range,fasta_file,seq_len,phase,cache_warm,num_samples,batch_size,wall_time_s,peak_vram_mb,status
numsamples,2671010,t0030,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000001648_00738.fasta,72,warmup,False,1,50,8.76,0.0,ok
numsamples,2671010,t0030,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000001648_00738.fasta,72,sample,True,10,50,11.01,0.0,ok
numsamples,2671010,t0030,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000001648_00738.fasta,72,sample,True,25,50,17.18,0.0,ok
numsamples,2671010,t0030,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000001648_00738.fasta,72,sample,True,50,50,23.0,0.0,ok
numsamples,2671010,t0030,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000001648_00738.fasta,72,sample,True,100,50,35.57,0.0,ok
numsamples,2671010,t0030,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000001648_00738.fasta,72,sample,True,200,50,66.79,0.0,ok
numsamples,2671010,t0030,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000001648_00738.fasta,72,sample,True,500,50,140.7,0.0,ok
numsamples,2671010,t0030,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000001648_00738.fasta,72,sample,True,1000,50,231.49,0.0,ok
numsamples,2671010,t0030,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000190757_00999.fasta,81,warmup,False,1,50,8.09,0.0,ERROR: Invalid suffix '_unphysical.xtc'
numsamples,2671010,t0030,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000065599_00399.fasta,102,warmup,False,1,50,9.88,210.6,ok
numsamples,2671010,t0030,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000065599_00399.fasta,102,sample,True,10,50,16.93,852.7,ok
numsamples,2671010,t0030,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000065599_00399.fasta,102,sample,True,25,50,28.69,1904.1,ok
numsamples,2671010,t0030,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000065599_00399.fasta,102,sample,True,50,50,44.44,3522.9,ok
